A17;INTITULÉS 17;A38;INTITULÉS 38;A88;INTITULÉS 88;A129;INTITULÉS 129;NAF 732;INTITULÉS 732
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0112Z;Culture du riz
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0113Z;Culture de légumes, de melons, de racines et de tubercules
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0114Z;Culture de la canne à sucre
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0115Z;Culture du tabac
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0116Z;Culture de plantes à fibres
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0119Z;Autres cultures non permanentes
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0121Z;Culture de la vigne
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0122Z;Culture de fruits tropicaux et subtropicaux
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0123Z;Culture d'agrumes
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0124Z;Culture de fruits à pépins et à noyau
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0126Z;Culture de fruits oléagineux
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0127Z;Culture de plantes à boissons
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0129Z;Autres cultures permanentes
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0130Z;Reproduction de plantes
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0141Z;Élevage de vaches laitières
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0142Z;Élevage d'autres bovins et de buffles
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0143Z;Élevage de chevaux et d'autres équidés
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0144Z;Élevage de chameaux et d'autres camélidés
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0145Z;Élevage d'ovins et de caprins
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0146Z;Élevage de porcins
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0147Z;Élevage de volailles
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0149Z;Élevage d'autres animaux
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0150Z;Culture et élevage associés
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0161Z;Activités de soutien aux cultures
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0162Z;Activités de soutien à la production animale
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0163Z;Traitement primaire des récoltes
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0164Z;Traitement des semences
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;01;Culture et production animale, chasse et services annexes;A01Z;Culture et production animale, chasse et services annexes;0170Z;Chasse, piégeage et services annexes
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;02;Sylviculture et exploitation forestière;A02Z;Sylviculture et exploitation forestière;0210Z;Sylviculture et autres activités forestières
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;02;Sylviculture et exploitation forestière;A02Z;Sylviculture et exploitation forestière;0220Z;Exploitation forestière
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;02;Sylviculture et exploitation forestière;A02Z;Sylviculture et exploitation forestière;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;02;Sylviculture et exploitation forestière;A02Z;Sylviculture et exploitation forestière;0240Z;Services de soutien à l'exploitation forestière
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;03;Pêche et aquaculture;A03Z;Pêche et aquaculture;0311Z;Pêche en mer
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;03;Pêche et aquaculture;A03Z;Pêche et aquaculture;0312Z;Pêche en eau douce
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;03;Pêche et aquaculture;A03Z;Pêche et aquaculture;0321Z;Aquaculture en mer
AZ;Agriculture, sylviculture et pêche;AZ;Agriculture, sylviculture et pêche;03;Pêche et aquaculture;A03Z;Pêche et aquaculture;0322Z;Aquaculture en eau douce
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;05;Extraction de houille et de lignite;B05Z;Extraction de houille et de lignite;0510Z;Extraction de houille
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;05;Extraction de houille et de lignite;B05Z;Extraction de houille et de lignite;0520Z;Extraction de lignite
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;06;Extraction d'hydrocarbures;B06Z;Extraction d'hydrocarbures;0610Z;Extraction de pétrole brut
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;06;Extraction d'hydrocarbures;B06Z;Extraction d'hydrocarbures;0620Z;Extraction de gaz naturel
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;07;Extraction de minerais métalliques;B07Z;Extraction de minerais métalliques;0710Z;Extraction de minerais de fer
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;07;Extraction de minerais métalliques;B07Z;Extraction de minerais métalliques;0721Z;Extraction de minerais d'uranium et de thorium
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;07;Extraction de minerais métalliques;B07Z;Extraction de minerais métalliques;0729Z;Extraction d'autres minerais de métaux non ferreux
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;08;Autres industries extractives;B08Z;Autres industries extractives;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;08;Autres industries extractives;B08Z;Autres industries extractives;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;08;Autres industries extractives;B08Z;Autres industries extractives;0891Z;Extraction des minéraux chimiques et d'engrais minéraux
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;08;Autres industries extractives;B08Z;Autres industries extractives;0892Z;Extraction de tourbe
DE;Industries extractives, énergie, eau, gestion des déchets et dépollution;BZ;Industries extractives ;08;Autres industries extractives;B08Z;Autres industries extractives;0893Z;Production de sel
